,gross_return,net_return,turnover,transaction_cost,SPY
2016-08-31,2.7466827433197905,2.726927353324047,1017.5321119122503,1.0073560309235399,1.8273116338008264
2016-09-30,2.7342072807812303,2.7141387784383246,1167.849355717469,1.0075048448826536,1.8274182803763965
2016-10-31,2.6530153329593205,2.6332034949698784,1313.8305251821528,1.0076307829882638,1.7957360092836472
2016-11-30,2.8209793480379304,2.799524214559107,1507.9191254931525,1.0077796375357506,1.8618881911010803
2016-12-31,2.876825377743972,2.8545001249685464,1747.8153500034268,1.0079399661144495,1.8996319419974472
2017-01-31,2.9801112682761435,2.95643304040947,2085.4614971631795,1.0081346817897214,1.9336253881759387
2017-02-28,3.095561586180578,3.0705629073913903,2369.842610412704,1.0082721547008746,2.009599989215518
2017-03-31,3.1602632640748527,3.1345327204752076,2531.422788395388,1.0083409005296042,2.012112175122068
2017-04-30,3.1856777180833573,3.1593128162916786,2876.616804994759,1.0084784015614947,2.0320847420879167
2017-05-31,3.243292867810434,3.2160921260056745,3203.505078289618,1.0085930013798539,2.060763534060815
2017-06-30,3.2837107997570345,3.255951803163213,3421.9258790820913,1.0086617690844935,2.0738999357049996
2017-07-31,3.383140898255255,3.354208369791331,3771.895571260942,1.0087649276745134,2.116528009891773
2017-08-31,3.3924460806578094,3.3630909304905705,4157.65761832172,1.0088680968148436,2.1227031761432245
2017-09-30,3.5203594926143897,3.489591760306149,4535.626492714604,1.0089598120963723,2.165474594112049
2017-10-31,3.656631615778956,3.624315983163633,4999.497384014961,1.009063001168064,2.2165013856940092
2017-11-30,3.787472192233768,3.753629581951235,5510.809616471037,1.0091662007931832,2.2842513189462843
2017-12-31,3.8683102016372173,3.8332760670406025,6199.6608185299165,1.0092923465682824,2.311954115011295
2018-01-31,4.069854269107948,4.032472090391953,7045.069111965813,1.0094299773428144,2.4422545116032484
2018-02-28,3.980072183624543,3.942918959773232,8085.817958051672,1.0095790976803765,2.353452514376509
2018-03-31,4.009031763856102,3.971204954704882,8912.77661285241,1.0096823500880936,2.288943618486858
2018-04-30,3.9867394555343267,3.9486717098878406,9925.592137040185,1.0097970867187853,2.300773300011275
2018-05-31,4.243744461506388,4.202773967403706,11053.500334431114,1.0099118363877306,2.3567032877326892
2018-06-30,4.272942382385181,4.231260172868974,12183.971959543387,1.010015122825543,2.370256240116566
2018-07-31,4.384220960833125,4.341068577712099,13291.60577404733,1.0101069423821636,2.4580660647076638
2018-08-31,4.663242619896553,4.616850619042879,14802.015521098161,1.0102217272619796,2.5365270887169986
2018-09-30,4.6495534205309434,4.60272049956202,16652.26746123543,1.0103480049778872,2.551607992951145
2018-10-31,4.192260149121668,4.149614914422035,18166.10995771138,1.0104398547965217,2.3752803123606343
2018-11-30,4.216532273768631,4.1730271226650695,20849.73983782783,1.0105891243205256,2.419340026953728
2018-12-31,3.8323138383110873,3.7924884346929644,22271.31300858882,1.0106580281244566,2.206321430831574
2019-01-31,4.196535854864046,4.152408298706167,25308.310237032747,1.0107958451282917,2.3829721966236366
2019-02-28,4.426568294654457,4.379597215462065,27896.66014763837,1.0108992219760888,2.4602172699300513
2019-03-31,4.5291808242296225,4.480921833197647,29164.690154349202,1.010945171940724,2.504749554671915
2019-04-30,4.726241719766792,4.675526583156926,31484.608689354252,1.0110255880339467,2.6070740980257328
2019-05-31,4.475968949300456,4.427461196381067,34704.62548712912,1.0111289883781773,2.4408185274459577
2019-06-30,4.829441571153059,4.776801230608822,37070.84995216064,1.0111979289910213,2.610665032018318
2019-07-31,4.889921697192527,4.836025030291192,41704.70619618072,1.0113243287321452,2.6501380451547947
2019-08-31,4.889230290982112,4.834626831964386,47865.62870243469,1.0114737289170714,2.605765280922738
2019-09-30,4.922444061146899,4.866865338754718,53848.83229023903,1.011600163133186,2.6564682383805653
2019-10-31,4.980343875951206,4.923613666139625,59356.099229013475,1.011703622240779,2.7151882622861745
2019-11-30,5.160079385325434,5.100574488328713,68124.61388784501,1.011853078457701,2.8134738661593026
2019-12-31,5.28245243519957,5.220898787379981,76640.19062382565,1.0119795600925081,2.8952199641790393
2020-01-31,5.35599289581473,5.292751722041887,88832.94822307065,1.0121405568407047,2.894050446676157
2020-02-29,4.950992690769998,4.8919321296103355,98927.60143023776,1.0122555728130729,2.664940949326781
2020-03-31,4.107462735660835,4.057686410259371,114666.0834759574,1.012416613472384,2.3321663372031463
2020-04-30,4.828783484390236,4.769620285760181,132908.41493804156,1.0125776797518,2.6283135424300275
2020-05-31,5.265894617039133,5.200291842804883,163114.87287850556,1.0128078110426526,2.7535396889649686
2020-06-30,5.4147616670284116,5.346181509476522,198332.85679545562,1.0130264854564004,2.8023727365219266
2020-07-31,5.8179215448778505,5.743749187092235,216363.1165041334,1.0131185787732602,2.967410708769103
2020-08-31,6.1060951693575145,6.027530933432915,243408.50606715007,1.0132452185956067,3.174525248614219
2020-09-30,5.9438348851445175,5.866947407464837,260004.54057172846,1.0133143034968746,3.055659851346363
2020-10-31,5.812695854424411,5.736904719061116,286595.9140392916,1.0134179379142776,2.9794722567246756
2020-11-30,6.693162598242429,6.605043651493323,328933.94679509604,1.0135676473823785,3.303569102899348
2020-12-31,7.0888244568922305,6.995046073285488,351361.26134930714,1.0136367542674272,3.4259610268178013
2021-01-31,7.128846615985996,7.0340618424429255,375317.71098675986,1.013705865864309,3.391048952201147
2021-02-28,7.5592894002807025,7.458221954236039,405172.52890616126,1.0137865015581846,3.4853386047497494
2021-03-31,8.06358558557067,7.955267201289419,432797.9286043086,1.013855623365109,3.6435709677165766
2021-04-30,8.426821189122002,8.312809843334326,477061.3531206583,1.0139593131447713,3.8363535259087973
2021-05-31,8.573961717748922,8.457014985024164,531272.8705207331,1.0140745357939922,3.861543686713709
2021-06-30,8.677240956054687,8.557155675902663,639942.3213090649,1.014281960130859,3.94814819530254
2021-07-31,8.659613566249853,8.538508108189802,734479.255138813,1.0144317972386057,4.044532734095419
2021-08-31,9.040716674053792,8.91321414196774,826289.1620311646,1.0145586012132604,4.164896575663843
2021-09-30,8.82752914720917,8.702222937388491,901406.3585794523,1.0146508338133706,3.970789622778937
2021-10-31,9.408225723507314,9.273984340767734,973109.1371028178,1.0147315446751513,4.249394514816131
2021-11-30,9.322456335285802,9.188595664615843,1061573.6041121648,1.0148237929973944,4.215251134336873
2021-12-31,9.904579797345226,9.76121187138872,1194270.3046261854,1.014950645971519,4.410197180081814
2022-01-31,9.68960915282697,9.547689065208194,1397839.1065511033,1.0151236489225366,4.177597703503805
2022-02-28,9.779233781714074,9.634265052151193,1651991.6713785767,1.0153082168587042,4.054288199638802
2022-03-31,10.154782005934122,10.003041813829755,1858490.6303008988,1.0154351303858116,4.206689750957037
